canonical_name,display_name,category,method_type,brand_family,aliases,body_areas,description,competitor_methods
accure,Accure,laser_skin,device,accure_acne,Accure|accure,,[Laser do trądziku] Laser 1726 nm z monitorowaniem termicznym Zastosowanie: Trądzik,[]
action_ii,Action II,laser_skin,device,lutronic,Action II|action ii,,"[Laser Er:YAG] Er:YAG 2940 nm do dermatologii i ginekologii Zastosowanie: Resurfacing, ginekologia",[]
acupulse,AcuPulse,laser_skin,device,lumenis,AcuPulse|acupulse,,"[Laser CO2 frakcyjny] Frakcyjny laser CO2 z modami SuperPulse, DeepFx, ActiveFx Zastosowanie: Resurfacing, fotostarzenie, blizny",[]
aethoxysklerol_fibrovein,Aethoxysklerol / Fibrovein,mezoterapia,substance,kreussler_std_pharmaceutical,Aethoxysklerol / Fibrovein|aethoxysklerol / fibrovein|aethoxysklerol fibrovein,,[Skleroterapia] Polidokanol / STS Zastosowanie: Skleroterapia zylakow,[]
aleksandryt,Aleksandryt,laser_depilacja,device,,aleksandryt|alexandryt|alexandrite,"[""face"",""body"",""armpit"",""bikini"",""legs""]",Laser aleksandrytowy 755nm — szybki dla jasnej skóry; mniej skuteczny dla typu IV+.,"[""thunder"",""motus""]"
alfaparf_milano_semi_di_lino_lisse_design,"Alfaparf Milano (Semi di Lino, Lisse Design)",fryzjer_zabieg,substance,alfaparf_group,"Alfaparf Milano (Semi di Lino, Lisse Design)|alfaparf milano|alfaparf milano (semi di lino, lisse design)",,"[Marki profesjonalne] Koloryzacja i pielegnacja Zastosowanie: Kolor, prostowanie",[]
aliaxin_sr_ev_fl_gp_lv_sv,Aliaxin SR / EV / FL / GP / LV / SV,substancja,substance,ibsa,Aliaxin SR / EV / FL / GP / LV / SV|aliaxin sr / ev / fl / gp / lv / sv|aliaxin sr ev fl gp lv sv,,"[HA - IBSA] Linia HA specjalistycznych - StRong, EleVolume itp. Zastosowanie: Roznorodne wskazania anatomiczne",[]
allergan_natrelle_inspira_410,Allergan Natrelle Inspira / 410,chirurgia,substance,allergan_abbvie,Allergan Natrelle Inspira / 410|allergan natrelle inspira / 410|allergan natrelle inspira 410,,[Powiekszanie piersi] Implanty silikonowe Zastosowanie: Augmentacja piersi,[]
alluzience,Alluzience,substancja,substance,galderma,Alluzience|alluzience,,[Toksyna botulinowa] Pierwsza plynna toksyna botulinowa typu A (gotowa do iniekcji) Zastosowanie: Zmarszczki gornej twarzy,[]
alumiermd,AlumierMD,peeling,substance,alumiermd,AlumierMD|alumiermd,,[Kosmeceutyki gabinetowe] Medical-grade skincare Zastosowanie: Antiaging,[]
anchor_cogged_barbed,Anchor / Cogged barbed,substancja,technique,roznorodni,Anchor / Cogged barbed|anchor / cogged barbed|anchor cogged barbed,,[Nici PDO] Roznorodne konstrukcje haczykow Zastosowanie: Lifting,[]
andis_master_gtx_slimline_t_outliner,Andis Master / GTX / Slimline / T-Outliner,fryzjer_zabieg,substance,andis,Andis Master / GTX / Slimline / T-Outliner|andis master / gtx / slimline / t-outliner|andis master gtx slimline t outliner,,[Maszynki barberskie] Profesjonalne maszynki Zastosowanie: Strzyzenie meskie,[]
apogee_elite,Apogee Elite+,laser_depilacja,device,cynosure,Apogee Elite+|apogee elite|apogee elite+,,"[Laser depilacyjny Aleksandryt] Aleksandryt + Nd:YAG Zastosowanie: Depilacja, naczynia",[]
aptos_light_lift_excellence,Aptos Light Lift / Excellence,substancja,substance,aptos,Aptos Light Lift / Excellence|aptos light lift / excellence|aptos light lift excellence,,[Nici PDO] Nici z polidioksanonu z haczykami Zastosowanie: Lifting niechirurgiczny,[]
aptos_nano_vitis_nano_spring,Aptos Nano Vitis / Nano Spring,substancja,substance,aptos,Aptos Nano Vitis / Nano Spring|aptos nano vitis / nano spring|aptos nano vitis nano spring,,[Nici PDO] Mono PDO biorewitalizacyjne Zastosowanie: Biorewitalizacja,[]
aqualyx,Aqualyx,substancja,substance,marllor,Aqualyx|aqualyx,"[""body"",""face""]","[Mezoterapia lipolityczna] Roztwor desoksycholowy do intralipoterapii Zastosowanie: Redukcja podbrodka, lokalnego tluszczu","[""liposukcja_iniekcyjna""]"
aquarelle_velvet_bb_lips_lip_blush,Aquarelle / Velvet / BB Lips / Lip Blush,brwi_rzesy,technique,roznorodni,Aquarelle / Velvet / BB Lips / Lip Blush|aquarelle / velvet / bb lips / lip blush|aquarelle velvet bb lips lip blush,,[PMU - ust] Wybarwianie ust Zastosowanie: PMU ust,[]
aquashine,AQUASHINE,substancja,substance,caregen,aquashine|aqua shine|aquashine ha light|aquashine btx,"[""face"",""neck""]","Caregen AQUASHINE — biorewitalizujące koktajle peptydowe z HA, multi-wariant (BTX, HA Light, PTx).","[""profhilo"",""jalupro"",""nctf""]"
aquasure_h2,Aquasure H2,peeling,device,roznorodni_oem,Aquasure H2|aquasure h2,,[Hydra-peeling] Hydro-dermabrazja z koncowkami spiralnymi Zastosowanie: Oczyszczanie,[]
aramo_aram_huvis_skin_scalp_analyzer,Aramo / Aram Huvis Skin & Scalp Analyzer,trychologia,substance,aram_huvis,Aramo / Aram Huvis Skin & Scalp Analyzer|aramo / aram huvis skin & scalp analyzer|aramo aram huvis skin scalp analyzer,,[Trychologia urzadzenia] Kamera trychologiczna Zastosowanie: Diagnostyka,[]
