canonical_name,display_name,category,method_type,brand_family,aliases,body_areas,description,competitor_methods
thunder,Thunder,laser_depilacja,device,aerolase,"thunder|thunder md|aerolase thunder","[""face"",""body"",""armpit"",""bikini"",""legs""]","Laser diodowy 755/810/1064nm Aerolase do depilacji wszystkich fototypów skóry; szybki tempo zabiegu (~15 min noga).","[""soprano"",""vectus"",""primex"",""motus"",""clarity_ii"",""diodowy_laser""]"
soprano,Soprano,laser_depilacja,device,alma_lasers,"soprano|soprano ice|soprano titanium|soprano xl","[""face"",""body"",""armpit"",""bikini"",""legs""]","Laser diodowy Alma 755/810/1064nm z technologią SHR (Super Hair Removal); bezbólowy.","[""thunder"",""vectus"",""primex"",""motus""]"
vectus,Vectus,laser_depilacja,device,lumenis,"vectus|lumenis vectus","[""face"",""body"",""armpit"",""bikini"",""legs""]","Laser diodowy Lumenis 810nm; skanowanie kontaktowe, duże spoty (do 23x23mm).","[""thunder"",""soprano"",""primex""]"
primex,Primex,laser_depilacja,device,bison_medical,"primex|primex md","[""face"",""body"",""armpit"",""bikini"",""legs""]","Laser diodowy Bison Medical 808nm; popularny w salonach średniego segmentu.","[""thunder"",""soprano"",""vectus""]"
motus,Motus,laser_depilacja,device,deka,"motus|motus ax|motus light","[""face"",""body"",""armpit"",""bikini"",""legs""]","Laser aleksandrytowy 755nm DEKA Motus AX; ruchoma głowica skanująca.","[""thunder"",""soprano"",""clarity_ii""]"
clarity_ii,Clarity II,laser_depilacja,device,lutronic,"clarity ii|clarity 2|lutronic clarity","[""face"",""body"",""armpit"",""bikini"",""legs""]","Laser dual Lutronic 755/1064nm; aleksandryt + Nd:YAG do depilacji + naczynia.","[""thunder"",""motus""]"
diodowy_laser,Laser diodowy,laser_depilacja,technique,,"laser diodowy|diodowa|depilacja diodowa","[""face"",""body"",""armpit"",""bikini"",""legs""]","Generic laser diodowy do depilacji (810nm dominant) — wszystkie typy skóry.","[""thunder"",""soprano"",""vectus"",""primex""]"
ipl,IPL,laser_depilacja,device,,"ipl|ipl shr|fotoepilacja","[""face"",""body"",""armpit"",""bikini"",""legs""]","Intense Pulsed Light — szeroki spektrum światła, fotoepilacja; tańszy, ale mniej skuteczny niż laser diodowy/aleksandryt.","[""thunder"",""soprano""]"
shr,SHR,laser_depilacja,technique,,"shr|super hair removal","[""face"",""body"",""armpit"",""bikini"",""legs""]","Super Hair Removal — technologia in-motion z chłodzeniem; znacznie bezbólowa wersja IPL.","[""ipl"",""soprano""]"
nd_yag,Nd:YAG,laser_skin,device,,"nd yag|ndyag|nd-yag|nd:yag","[""face"",""body""]","Laser neodymowy 1064nm — depilacja IV-VI fototyp, naczynia, zmiany barwnikowe.","[""diodowy_laser""]"
aleksandryt,Aleksandryt,laser_depilacja,device,,"aleksandryt|alexandryt|alexandrite","[""face"",""body"",""armpit"",""bikini"",""legs""]","Laser aleksandrytowy 755nm — szybki dla jasnej skóry; mniej skuteczny dla typu IV+.","[""thunder"",""motus""]"
fotona,Fotona,laser_skin,device,fotona,"fotona|fotona 4d|fotona sp dynamis","[""face"",""body""]","Lasery Fotona SP Dynamis (Nd:YAG + Er:YAG) — odmładzanie, naczynia, blizny, blizny po trądziku.","[""picosure"",""tixel""]"
picosure,PicoSure,laser_skin,device,cynosure,"picosure|pico sure|pico laser","[""face"",""body""]","Laser pikosekundowy 755nm Cynosure — usuwanie tatuaży, pigmentacja, odmładzanie.","[""picoway"",""fotona""]"
